Rank,Article,Word,Translation,Czech,Part of Speech
1,,de,of,z,preposition
2,,que,that,že,conjunction
3,,no,no,ne,adverb
4,,a,to,k,preposition
5,,y,and,a,conjunction
6,,ser,to be,být (trvale),verb
7,,en,in,v,preposition
8,,por,for,za,preposition
9,,qué,what,co,pronoun
10,,con,with,s,preposition
11,,para,for,pro,preposition
12,,estar,to be,být (dočasně),verb
13,,mi,my,můj,adjective
14,,pero,but,ale,conjunction
15,,sí,yes,ano,adverb
16,,si,if,jestli,conjunction
17,,bien,well,dobře,adverb
18,,ese,that,ten,pronoun
19,,su,his/her,jeho/její,adjective
20,,yo,I,já,pronoun
21,,como,like,jako,conjunction
22,,aquí,here,tady,adverb
23,,tu,your,tvůj,adjective
24,,más,more,více,adverb
25,,este,this,tento,pronoun
26,,todo,all,vše,adjective
27,,ya,already,už,adverb
28,,ahora,now,teď,adverb
29,,muy,very,velmi,adverb
30,,haber,to have,mít,verb
31,,así,like that,takto,adverb
32,,ir,to go,jít,verb
33,,algo,something,něco,pronoun
34,,bueno,good,dobrý,adjective
35,,tener,to have,mít,verb
36,,él,he,on,pronoun
37,,cuando,when,když,conjunction
38,,saber,to know,vědět,verb
39,,tú,you (informal),ty,pronoun
40,,nos,us,nás,pronoun
41,,nada,nothing,nic,pronoun
42,,cómo,how,jak,adverb
43,,o,or,nebo,conjunction
44,,poder,to be able,moci,verb
45,,ella,she,ona,pronoun
46,,querer,to want,chtít,verb
47,,hacer,to do,dělat,verb
48,la,gracia,thanks,díky,noun
49,la,vez,time,krát,noun
50,,solo,only,jen,adjective
51,,porque,because,protože,conjunction
52,,creer,to believe,věřit,verb
53,,usted,you (formal),vy,pronoun
54,,entonces,then,pak,adverb
55,,hola,hello,ahoj,interjection
56,la,verdad,true,pravda,noun
57,la,casa,home,dům,noun
58,,tan,so,tak,adverb
59,,quién,who,kdo,pronoun
60,el,tiempo,time,čas,noun
61,,dos,two,dva,number
62,,nunca,never,nikdy,adverb
63,,dónde,where,kde,adverb
64,el,favor,please,laskavost,noun
65,,mucho,a lot,hodně,adjective
66,,mí,me,mě,pronoun
67,,sentir,to feel,cítit,verb
68,el,señor,mister,pan,noun
69,,mejor,better,lepší,adjective
70,,decir,to say,říct,verb
71,,también,also,také,adverb
72,,sobre,about,o,preposition
73,el,dios,god,bůh,noun
74,,sin,without,bez,preposition
75,,ver,to see,vidět,verb
