Rank,Article,Word,Translation,Czech,Part of Speech
1,,de,of,z,preposition
2,,hablar de tu,to address informally (tu),tykat,phrase
3,,hablar de usted,to address formally (usted),vykat,phrase
4,,tutuear,to address informally (colloquial),tykat hovorově,verb
5,,lo demás,the rest / everything else,ostatní,pronoun
6,,joven,young,mladý,adjective
7,la,entrevista,job interview,pracovní pohovor,noun
8,,en qué trabaja,what does he/she do (for work),co dělá (práci),phrase
9,,luego,then / later,potom,adverb
10,la,llama,llama,lama,noun
11,,delante,in front / ahead,před,adverb
12,,entre,between / among,mezi,preposition
13,,debajo,under / below,pod,adverb
14,,detrás,behind,za,adverb
15,,encima,on top / above,na/nahoře,adverb
16,,lejos,far / far away,daleko,adverb
17,,al lado de,next to / beside,vedle/na straně,phrase
18,,dentro,inside,uvnitř,adverb
19,,fuera,outside,venku,adverb
20,,sobre,on / above,na/nahoře,preposition
21,la,costumbre,custom / habit,zvyk,noun
22,,permitir,to allow / to enable,umožnit,verb
23,,cuando,when,když,conjunction
24,el,desarrollo,development,rozvoj,noun
25,,volverse,to become / to turn,změnit se,verb
26,,desconocido,unknown / stranger,neznámý,adjective
27,la,arroba,at sign (@),zavináč,noun
28,,separado,separately,zvlášť,adverb
29,,todo junto,all together,dohromady,phrase
30,la,almohada,pillow,polštář,noun
31,la,estanteria,shelf / bookshelf,polička,noun
32,la,pared,wall,zeď,noun
33,el,peluche,plush toy / stuffed animal,plyšák,noun
34,la,vela,candle,svíčka,noun
35,el,cajón,drawer,šuplík,noun
36,la,alfombra,carpet / rug,koberec,noun
37,,qué hay?,what is there? / what's up?,co?,phrase
38,el,guion,hyphen / dash,pomlčka,noun
39,,cuál,which,který,pronoun
40,,tantos,so many,tolik,pronoun
41,la,nieve,snow,sníh,noun
42,,nevar,to snow,sněžit,verb
43,la,primavera,spring,jaro,noun
44,el,verano,summer,léto,noun
45,el,otoňo,autumn / fall,podzim,noun
46,el,invierno,winter,zima,noun
47,la,lluvia,rain,déšť,noun
48,,llover,to rain,pršet,verb
49,,llueve,it rains / it's raining,prší,verb
50,,hace sol,it's sunny / the sun is shining,svítí slunce,phrase
51,,está soleado,it's sunny,je slunečno,phrase
52,,hace calor,it's hot / it's warm,je teplo,phrase
53,,hace frío,it's cold,je zima,phrase
54,,está nublado,it's cloudy,je zataženo,phrase
